State,7/31/2020,7/24/2020,7/17/2020,7/10/2020,7/3/2020,6/26/2020,6/19/2020,6/12/2020,6/5/2020,5/29/2020,5/22/2020,5/15/2020,5/8/2020,5/1/2020,4/24/2020,4/17/2020,4/10/2020,4/3/2020,3/27/2020,3/20/2020,3/13/2020,3/6/2020,2/28/2020,2/21/2020,2/14/2020,2/7/2020,1/31/2020,1/24/2020,1/17/2020,1/10/2020,1/3/2020,12/27/2019,12/20/2019,12/13/2019,12/6/2019,11/29/2019,11/22/2019,11/15/2019,11/8/2019,11/1/2019,10/25/2019,10/18/2019,10/11/2019,10/4/2019,9/27/2019,9/20/2019,9/13/2019,9/6/2019,8/30/2019,8/23/2019,8/16/2019,8/9/2019,8/2/2019,7/26/2019,7/19/2019,7/12/2019,7/5/2019,6/28/2019,6/21/2019,6/14/2019,6/7/2019,5/31/2019
Pennsylvania,28671,35808,37986,44798,44086,45261,42577,44341,45049,42266,55374,41673,50299,58240,82414,124633,172733,239077,374056,363000,15439,12227,12045,12631,13583,14425,15893,13359,16218,26356,27298,26152,19967,20691,25417,17339,17406,12342,14435,12518,11488,10922,11157,10561,10026,9521,10036,9834,11186,10944,11157,11332,10921,10023,11370,14876,13132,14483,18602,19548,17364,11990
Rhode Island,3642,3635,3258,3133,3436,3229,4014,2641,3518,2748,2937,3883,6245,9088,13084,18078,22509,28243,27800,35847,1108,700,874,1921,996,959,971,1048,1194,1817,1972,3661,1719,1338,1523,981,839,793,864,796,700,655,890,571,530,662,735,640,617,753,872,730,695,646,692,861,1364,1648,1805,1152,747,472
South Carolina,8909,12195,14307,19272,16015,17654,17611,19853,23188,18910,25380,29899,33191,47673,66438,74362,89147,86573,66475,31826,2093,1889,1977,1824,2088,2054,2099,2248,3126,4629,7471,2181,2931,2495,3965,1548,2496,2205,3380,2050,2066,1988,2157,2359,1970,1916,2770,1524,1869,1941,1873,2058,2432,1867,2384,3507,1959,2183,2116,2506,3003,1799
South Dakota,731,808,772,1216,835,644,910,1065,880,1498,3471,3891,5269,3929,5535,5295,6359,8138,6801,1761,190,185,159,191,194,223,217,291,338,468,398,241,489,529,630,328,359,406,318,273,206,174,156,185,147,124,151,103,122,144,158,134,136,150,204,204,152,180,157,204,208,205
Tennessee,11690,20091,25773,22060,24920,21544,20506,19413,20908,22255,25439,27990,28377,36323,42805,67226,71887,112186,92500,38077,2702,2032,2014,1855,2140,2161,2362,2484,3093,3711,3084,4590,3253,2476,3310,2034,2161,2159,2481,2161,2270,3046,3186,2880,2924,3295,2104,2124,2221,1994,1893,1997,2282,2198,2233,2706,2995,2904,2323,2363,2889,3865
Texas,61940,76804,87908,105516,117099,96593,89547,94723,89676,106677,127717,134065,141553,243935,254084,280761,274257,315167,276185,155426,16176,14355,12692,12047,12790,13869,13818,13070,15783,21902,12367,8947,12589,15037,20649,10359,16139,14335,16393,13861,13183,13058,14342,14146,12691,12440,12273,11500,13048,12619,11694,12816,12915,12265,12958,16144,11598,13655,14494,15081,15186,12773
Utah,3137,3709,4483,4792,4802,4965,4915,4803,5382,4948,5405,6228,7076,8992,11738,19649,24515,33040,28532,19690,1305,1015,885,1008,1097,1303,1290,1271,1458,1834,1518,1284,1623,1706,2196,1755,1402,1298,1449,1167,1045,913,984,1022,927,856,892,822,821,850,826,882,842,758,834,949,861,957,918,885,993,918
Vermont,1220,1519,1637,1830,1876,2163,1389,1859,1650,1465,1552,2199,2913,3875,5117,6598,9662,16474,14633,3784,659,446,863,610,543,475,481,518,755,649,680,1647,895,539,977,1124,621,693,636,663,369,392,308,279,249,236,240,271,205,262,321,289,296,289,262,384,538,603,837,335,312,405
Virginia,25990,42966,37946,32292,31825,31955,25293,27186,29231,31379,39242,44699,52139,59631,72488,82729,104619,147369,112497,46277,2706,2527,3267,2079,2693,3097,2575,3059,2831,3643,3188,3305,3608,3127,4284,1952,2542,2327,2671,2354,3871,2202,2455,2340,2129,2158,2236,2144,2217,2054,2237,2382,2517,2185,2453,3183,2487,2415,2450,2591,2821,2388
Washington,26965,30653,33361,45622,29506,33266,30793,30217,30677,31929,49436,140119,110831,102216,139505,83475,144455,171252,182849,129909,14240,6616,5770,5585,6311,7161,6619,8072,9079,9069,10024,10106,8896,7359,10123,7896,8393,7619,7832,6953,6375,6254,6400,6096,5306,5319,5428,5060,4944,4780,5032,5490,5632,4656,4671,6312,5547,5626,5408,4886,5426,4908
West Virginia,2333,3123,3758,4070,3330,3532,3756,4327,4413,4685,4904,5026,6045,13227,29818,46755,14944,14494,14523,3536,865,1033,1108,1207,1172,1206,1364,1290,1895,2638,1564,1261,1759,2507,2110,992,1429,1354,1360,1364,1343,1137,1482,1222,901,865,927,919,816,841,802,794,766,893,905,1261,616,793,880,935,881,864
Wisconsin,19302,23026,25129,29051,27385,24925,25428,25543,25047,24661,28967,31287,38710,37885,49993,55883,70000,104823,110934,51031,5190,5052,5658,6098,5808,6579,6280,6134,6388,8255,12854,10483,7776,6794,10564,8129,7396,6642,5847,4827,3911,3536,3888,3773,2993,3151,3594,3826,3787,3190,3369,3833,3702,3427,3441,5475,5609,4345,5467,5208,4367,3753
Wyoming,983,1600,2664,1485,1338,1418,1402,1539,2013,2421,2800,2303,3297,2854,3497,4381,5794,6543,6396,3653,517,534,471,389,598,589,529,531,636,829,662,630,629,542,760,589,608,521,798,750,412,512,476,436,298,283,244,222,232,239,236,215,186,178,241,443,442,348,264,298,389,440
Washington DC,2090,2712,3053,3300,2858,3132,3073,3065,3385,3559,5135,5196,5782,8113,8708,8639,9974,15329,15869,14462,1213,471,452,422,473,508,539,534,594,706,481,366,598,562,635,387,561,513,570,470,420,434,480,480,397,407,433,381,391,440,461,480,527,491,528,570,501,591,787,473,456,410
Virgin Islands,8,48,110,70,38,57,63,53,32,32,47,66,70,45,103,13,6,72,250,123,44,64,37,55,40,45,35,44,40,24,10,17,53,29,12,22,40,36,30,35,39,30,29,52,21,34,48,29,39,46,33,39,30,36,28,43,21,29,32,29,25,24
Puerto Rico,2168,6715,7017,7945,11257,10228,9160,8097,8820,7236,13521,10923,15067,21886,17286,26481,42074,66555,45394,20148,1172,1343,1296,1390,1588,1770,1998,2335,3124,836,853,1013,1255,1025,1328,997,942,1048,1199,1119,1136,970,1474,1448,820,1031,1135,1173,961,1218,1249,1345,1291,1156,1406,1974,1458,1531,1805,2445,2239,1305
